Name,Date,Allison,Brain Train,Cardio,Chores,Energy,Entertainment,Family,Friends,Hap,Happiness,Learning,Lifting,Motivation,Prod,Productivity,Projects,Reading,Sleep,Work,Yoga
,01/18/2022,0,0,0.5,0,,0,0,2,,6,0,0,,,6,,0.75,7.5,9,
,01/17/2022,3,0.5,0,0,,0.5,0,0,,7,6.5,0.5,,,6,,1.5,7.5,0,
,01/16/2022,2,1.5,0,1,,0,0,0,,8,5,0.5,,,7,,0,6.5,0,
,01/15/2022,7,1.5,0,2.5,,1,0,3.5,,7,1.5,0,,,4,,0,8,0,
,01/14/2022,2.5,2,0,0,,0,0,0.75,,9,0,0.5,,,8,,0.25,8,8.75,
,01/13/2022,1.5,0,0.5,2,,0,0,0,,8,2,0,,,8,,0.5,8,8.5,
,01/12/2022,6,1,0,0,,0.5,0,1,,7,0,0,,,6,,0,8,9.5,
,01/11/2022,0,0,0.3,0,,1,0,0,,6,0,0.5,,,8,,0.5,8,10,
,01/10/2022,1,0,0,0,,0,0,0,,4,0,0.5,,,7,,0.5,8,12,
,01/09/2022,2,0,0.5,1.25,,0,0,2.5,,9,8.25,0.5,,,9,,0,8,0,
,01/08/2022,4,2,0.5,2,,1,0,0,,8,5,0.6,,,8,,2,8,0,
,01/07/2022,3,0,0,2,,3,0,0,,7,0,0.6,,,6,,0.25,8,8.5,
,01/06/2022,3,0,0,0,,0,0,0,,7,0,0.5,,,7,,0,8,9,
,01/05/2022,3,3,0,0,,0,0,0,,7,0,0.5,,,5,,0,8,9,
,01/04/2022,1.5,0.5,0,0,,0.5,0.25,2,,8,2,0.5,,,9,,0.5,7.5,9,
,01/03/2022,3,2,0,1,,2,0,0,,5,0,1,,,6,,0,7,7,
,01/02/2022,7,2,0,3,,2,0,4,,8,4.5,0.75,,,5,,0,8,0,
,01/01/2022,7,0,0,1,,5,0,0,,7,3,1,,,3,,0,8,0,
